mag_and_cluster	MPA900_1	MPA900_2	NPA900_1	NPA900_2	MFL900_1	MFL900_2	NFL900_1	NFL900_2
MAG_652_8;resorcinol	1.3379869724476552	0.3945878223216051	0	0	0	0.36411331014237514	0	0
MAG_120_7;hserlactone	0.3430747731584827	0.8754634932688348	0	0	1.1275327964814656	0	0	0
MAG_652_13;RRE-containing	1.0126338354186546	0.8743809049803899	0	0	0.37732558343636474	0.2853359125653704	0	0
MAG_785_1;NRPS-like	1.0611585948485285	1.1503887441741645	0	0	0	0	0	0
MAG_1535_79;betalactone	0	0	0	0	1.0432044810462142	1.1941490227921587	0	0
MAG_49_2;hserlactone	1.0998974063739344	1.1724065513448299	0	0	0	0	0	0
MAG_63_19;betalactone	0.4013945967988697	0	0	0	1.0591928405743067	1.128598933743049	0	0
MAG_1421_1;NRPS-like	1.2307972472915631	0.7401214467931702	0	0	0.7096812979857635	0.18136029492704409	0	0
MAG_1535_2;NRPS-like	0	0	0	0	1.120588531575675	1.3052690154415387	0	0
MAG_24_6;ladderane	1.2717270382964292	0.9164738181844501	0	0	0	0	0.6032854032490664	0
MAG_599_122;ranthipeptide	1.4986797117319421	0	0	0	0.5413861207870779	0.604752634723352	0	0
MAG_1220_19;terpene	0	0	0	0	0	0	1.4788128031097258	1.0254282969874522
MAG_45_7;ladderane	1.7506262086988726	0.06267280159890466	0	0	0.12286372328053424	0.24209129401768323	0	0
MAG_224_2;resorcinol	0	0	0	0	0	0	1.1276150778719283	1.4350501931224906
MAG_771_36;NRPS	0.16832466093513387	0.31659817191806194	0	0	0.9916515547568058	1.408325379072211	0	0.07054012578131436
MAG_815_2;T2PKS	1.3388579650344183	1.3505550941596887	0	0	0	0	0	0
MAG_945_1;betalactone	0	0	0.8521265547648345	0.31511342451182195	0	0	1.3791604921658063	0.8634721373360857
MAG_1414_9;ranthipeptide	1.942652303465819	0.6674485989122868	0	0	0	0	0	0
MAG_623_7;ladderane	1.6450843633148484	1.386559104581518	0	0	0	0	0	0
MAG_771_18;terpene	0.09479649388409823	1.0759721362622525	1.1722290220154463	0.6838942622195111	0.4306026353084055	0.6390664060385443	0.3412556485627928	0.22181070207186132
MAG_522_1;ladderane	1.590440555583007	1.2803508611838128	0	0	0.20922834957131392	0.5553970861965579	0	0
MAG_112_14;ranthipeptide	1.8709041317847388	1.1427703306593309	0	0	0	0	0	0
MAG_1396_32;terpene	0.3817280559126511	0.4968815067485901	0	0	1.5219166612970783	1.3895673407542257	0	0
MAG_1396_80;betalactone	1.0083388537248563	0.793536303990924	0	0	1.4493938933771098	1.042300956847088	0	0
MAG_1535_25;phosphonate	0	0.40946545119685807	0	0	1.220865335268188	1.9115164027158946	0	0
MAG_1499_1;phosphonate	1.195231685484561	1.4786266629104636	0	0	0.9611452580920002	1.397055721411449	0	0
MAG_522_13;ladderane	1.8355281732094035	1.840060551272743	0	0	0	0	0	0
MAG_334_6;ladderane	2.2576744077375976	1.0753869108298768	0	0	0	0.23403444793263456	0	0
MAG_59_18;terpene	0	0	0.4682428455410793	0.4472848796011584	0.5214466053389469	0	2.0734292089690882	1.1449792334137823
MAG_112_1;ranthipeptide	2.3560263266578243	0.9990956694919294	0	0	0	0	0	0
MAG_1499_10;RRE-containing	1.643233351735312	1.0357816102283692	0	0	1.2389214100056065	1.3821543679069603	0	0
MAG_418_3;terpene	0	0	1.461214932488164	1.69540844773849	0	0	0.9081701170165921	1.2146726834670496
MAG_428_1;NRPS-like	2.122197824743066	0.9024232003364395	0	0	0.8904953816527607	0.867922693347965	0	0
MAG_1092_59;terpene	0.9094638655357551	0.7414461758839707	0	0	2.1475731860626524	1.7939941956045462	0	0
MAG_1684_31;hglE-KS	0.19545165969667094	0.46596838456640904	0	0	2.0620407016478124	2.1578290345329605	0	0
MAG_22_6;betalactone	0	0	0.3463513271084916	1.3988772071967832	0.05238395381390444	0	2.062358860554412	1.7821635978255064
MAG_334_20;ladderane	2.0284696768603965	2.390689489626031	0	0	0.29043340272187074	0	0	0
MAG_1398_29;T1PKS	1.5164835413048772	0.9247896621902413	0	0	1.8450877195832724	2.185808161866655	0	0
MAG_334_9;ladderane	2.540236464999766	1.9590317792621539	0	0	0.2765398771237545	0.2079498248194699	0	0
MAG_712_6;acyl_amino_acids	2.631237973571277	1.8702145924137197	0	0	0	0.6968259962656669	0	0
MAG_652_7;RRE-containing	2.131177625212351	1.471124517274222	0	0	1.81660566354165	1.8359822315470857	0	0
MAG_1264_52;betalactone	0.41405801289103894	0.8128453354670238	0	0	2.134164027511882	2.5989629466691526	0	0
MAG_522_3;ranthipeptide	2.1171437141214486	2.790966719156348	0	0	0	0.5346626892369412	0	0
MAG_334_2;ranthipeptide	2.9599705681541506	1.886178735686874	0	0	0.06111377226145541	0.3080008879523889	0	0
MAG_49_7;betalactone	2.3269046582286683	2.03785401031038	0	0	1.6216089169145618	1.7442917542490721	0	0
MAG_616_15;NRPS-like	2.6361807424838233	2.3080713657656267	0	0	0.569097284992375	1.3974825559531692	0	0
MAG_22_1;ranthipeptide	0	0	0.7042429084360413	1.6670784890973087	0	0	2.5179438510425105	2.4710618283951042
MAG_652_8;arylpolyene	3.2197125017153327	2.02157358110596	0	0	0.8224549521462248	0.5420209851488973	0	0
MAG_334_8;NRPS-like	3.1965825348870247	2.4378871834526157	0	0	1.1638636748913185	2.059744053194298	0	0
MAG_959_1;NRPS-like	1.3637834503970874	0	0	0	3.3670416387445448	3.0306510948864	0	0
MAG_16_24;T1PKS	0	0	0	1.10288473280456	0	0.17318235615044045	3.457271189054821	3.2314754966145554
MAG_1092_15;arylpolyene	1.8738603671099123	1.7483930155937348	0	0	3.4190310172822933	3.2593004834189143	0	0
MAG_771_18;lanthipeptide-class-i	2.7459880454620302	2.3303905973476304	1.084588427058155	1.90217421408898	3.0776191736638143	3.395070421015225	1.4003163493331343	1.6750379954358923
MAG_352_7;RRE-containing	3.253688390272359	2.460753534560948	0	0	5.035559180314935	5.6157850221376755	0	0
