mag_and_cluster	MPA295_1	MPA295_2	NPA247_1	NPA247_2	MPA314_1	MPA314_2	NPA267_1	NPA267_2	MFL295_1	MFL295_2	NFL247_1	NFL247_2	MFL314_1	MFL314_2	NFL267_1	NFL267_2
MAG_205_25;phosphonate	0	0	0	0	0	0	0	0	0	0	0.09700639841202495	0	0	0	0	0
MAG_599_122;ranthipeptide	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09726557274091464	0	0
MAG_62_2;sactipeptide	0	0	0	0	0	0	0	0	0	0.09825412062926474	0	0	0	0	0	0
MAG_1512_78;RRE-containing	0	0	0	0	0	0	0	0	0	0	0	0.11355425543570886	0	0	0	0
MAG_1322_174;ladderane	0	0	0	0	0	0	0	0	0	0	0	0.1358995706121331	0	0	0	0
MAG_1535_79;betalactone	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14976696507837253	0	0
MAG_914_3;ranthipeptide	0	0.16715335330691256	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_773_37;proteusin	0	0	0	0	0	0	0	0	0.17314317267849422	0	0.0484958562148619	0	0	0	0	0
MAG_946_41;T1PKS	0	0	0	0	0	0.10392780278681406	0	0	0	0	0	0	0	0.18625074789498783	0	0
MAG_1540_21;betalactone	0	0	0	0	0	0	0	0	0	0	0.2760190404440847	0	0	0	0	0
MAG_334_8;NRPS-like	0	0	0	0	0	0	0	0	0	0	0	0	0.3089759178680168	0	0	0
MAG_347_82;NRPS-like	0	0	0	0	0	0	0	0	0	0	0.3116590620320878	0.0277043939148953	0	0	0	0
MAG_205_52;NRPS-like	0	0	0	0	0	0	0	0	0	0	0	0.09958764106416873	0.2614422184433618	0	0	0
MAG_1540_32;NRPS-like	0	0	0	0	0	0	0	0	0	0.39658435381875545	0	0	0	0	0	0
MAG_595_28;terpene	0	0	0	0	0	0	0	0	0	0.11166681728326108	0	0.08396699175624628	0	0.2510620955979168	0	0
MAG_21_63;hserlactone	0	0	0.4269755336267583	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_975_44;terpene	0	0	0	0	0	0	0	0	0	0	0.073599007862289	0.14977071558379235	0	0.32491079513719245	0	0
MAG_1415_70;terpene	0	0	0	0	0	0	0	0	0	0	0.33122566964233624	0	0	0.20845040548077642	0	0
MAG_1540_1;terpene	0	0	0.25618732679932615	0	0	0	0	0	0.25151583832530566	0	0	0.1458461397449714	0	0	0	0
MAG_171_20;T1PKS	0	0	0	0	0.38028293944898206	0	0	0	0	0	0	0	0	0.2819846582915636	0	0
MAG_187_10;hserlactone	0	0	0	0	0.5814326252678303	0	0	0	0	0	0	0	0	0	0	0
MAG_1131_1;NRPS-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5860634528304862
