Genome	D2a900AN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1538	32253
CarAnox_mtb2_603	157
CarAnox_mtb2_568	63556
CarAnox_mtb2_1594	53452
CarAnox_mtb2_154	211382
CarAnox_mtb2_944	54
CarAnox_mtb2_785	185083
CarAnox_mtb2_741	8777
CarAnox_mtb2_954	853090
CarAnox_mtb2_1214	5532
CarAnox_mtb2_218	703
CarAnox_mtb2_428	197990
CarAnox_mtb2_382	19
CarAnox_mtb2_187	238
CarAnox_mtb2_275	621
CarAnox_mtb2_1312	6133
CarAnox_mtb2_1002	2290
CarAnox_mtb2_281	2607
CarAnox_mtb2_1394	40815
CarAnox_mtb2_1283	529682
CarAnox_mtb2_1221	7186
CarAnox_mtb2_929	4676
CarAnox_mtb2_773	138
CarAnox_mtb2_1620	133974
CarAnox_mtb2_804	174890
CarAnox_mtb2_1528	316083
CarAnox_mtb2_47	65050
CarAnox_mtb2_418	172
CarAnox_mtb2_1510	59388
CarAnox_mtb2_205	39
CarAnox_mtb2_919	1136
CarAnox_mtb2_406	94065
CarAnox_mtb2_1509	2070
CarAnox_mtb2_824	160025
CarAnox_mtb2_106	7652
CarAnox_mtb2_1396	709787
CarAnox_mtb2_1551	16329
CarAnox_mtb2_1199	56766
CarAnox_mtb2_451	35649
CarAnox_mtb2_1564	14691
CarAnox_mtb2_200	33820
CarAnox_mtb2_110	586749
CarAnox_mtb2_1578	59162
CarAnox_mtb2_769	223
CarAnox_mtb2_541	150
CarAnox_mtb2_946	85
CarAnox_mtb2_699	6516
CarAnox_mtb2_499	30752
CarAnox_mtb2_1023	497
CarAnox_mtb2_209	121
CarAnox_mtb2_654	114618
CarAnox_mtb2_1261	5159
CarAnox_mtb2_728	1453
CarAnox_mtb2_1162	42360
CarAnox_mtb2_1302	3860585
CarAnox_mtb2_259	47246
CarAnox_mtb2_1353	125
CarAnox_mtb2_1424	166381
CarAnox_mtb2_49	120325
